iter	Passed	Remaining
0	174	174503
1	189	94757
2	204	67882
3	218	54288
4	232	46285
5	246	40898
6	260	36993
7	276	34227
8	292	32159
9	306	30380
10	321	28916
11	337	27804
12	352	26793
13	366	25818
14	382	25092
15	397	24427
16	412	23878
17	427	23323
18	441	22809
19	456	22387
20	472	22043
21	489	21764
22	505	21455
23	519	21132
24	534	20828
25	548	20537
26	561	20239
27	576	20019
28	592	19833
29	607	19644
30	623	19483
31	638	19323
32	655	19194
33	671	19067
34	687	18955
35	704	18855
36	720	18753
37	736	18636
38	753	18557
39	770	18480
40	786	18394
41	803	18318
42	819	18235
43	835	18163
44	850	18054
45	865	17951
46	882	17885
47	898	17828
48	916	17779
49	931	17689
50	944	17574
51	958	17479
52	974	17409
53	989	17334
54	1005	17282
55	1021	17217
56	1037	17165
57	1052	17095
58	1067	17021
59	1082	16960
60	1096	16886
61	1112	16835
62	1127	16772
63	1144	16744
64	1160	16700
65	1175	16639
66	1194	16634
67	1212	16615
68	1232	16623
69	1249	16602
70	1266	16570
71	1285	16569
72	1304	16563
73	1321	16534
74	1337	16495
75	1352	16443
76	1367	16387
77	1383	16351
78	1396	16284
79	1412	16241
80	1427	16195
81	1442	16145
82	1456	16090
83	1470	16038
84	1485	15994
85	1500	15951
86	1515	15908
87	1530	15860
88	1543	15802
89	1558	15755
90	1573	15714
91	1588	15672
92	1601	15622
93	1617	15588
94	1635	15576
95	1649	15534
96	1664	15493
97	1678	15450
98	1691	15398
99	1707	15367
100	1722	15331
101	1737	15297
102	1751	15253
103	1765	15211
104	1779	15171
105	1794	15130
106	1809	15102
107	1823	15059
108	1837	15023
109	1853	14995
110	1868	14965
111	1884	14942
112	1900	14919
113	1916	14895
114	1932	14872
115	1949	14858
116	1965	14832
117	1984	14830
118	2048	15168
119	2090	15333
120	2157	15672
121	2203	15860
122	2240	15974
123	2273	16060
124	2308	16161
125	2327	16143
126	2351	16166
127	2375	16180
128	2393	16162
129	2412	16147
130	2430	16121
131	2447	16095
132	2462	16054
133	2478	16015
134	2494	15984
135	2509	15945
136	2526	15915
137	2542	15879
138	2556	15834
139	2571	15797
140	2586	15757
141	2601	15717
142	2617	15684
143	2632	15649
144	2647	15609
145	2661	15570
146	2677	15535
147	2692	15500
148	2707	15464
149	2722	15426
150	2736	15386
151	2753	15361
152	2769	15331
153	2787	15314
154	2805	15293
155	2819	15253
156	2836	15229
157	2851	15197
158	2866	15162
159	2882	15130
160	2898	15105
161	2914	15076
162	2930	15047
163	2947	15022
164	2961	14985
165	2975	14948
166	2990	14915
167	3005	14883
168	3019	14848
169	3033	14813
170	3049	14783
171	3064	14753
172	3080	14725
173	3097	14702
174	3114	14684
175	3131	14658
176	3145	14626
177	3160	14594
178	3173	14557
179	3189	14530
180	3208	14518
181	3222	14484
182	3238	14456
183	3253	14429
184	3271	14411
185	3286	14384
186	3302	14359
187	3317	14330
188	3333	14302
189	3347	14272
190	3362	14240
191	3376	14211
192	3391	14182
193	3406	14152
194	3420	14119
195	3434	14088
196	3450	14065
197	3466	14039
198	3481	14013
199	3496	13985
200	3511	13957
201	3524	13922
202	3539	13897
203	3555	13874
204	3571	13852
205	3587	13825
206	3601	13796
207	3616	13771
208	3636	13764
209	3651	13735
210	3665	13705
211	3680	13680
212	3695	13653
213	3709	13626
214	3723	13596
215	3737	13566
216	3751	13536
217	3764	13505
218	3780	13482
219	3795	13457
220	3811	13435
221	3826	13408
222	3841	13383
223	3856	13358
224	3871	13333
225	3886	13309
226	3902	13287
227	3918	13268
228	3933	13244
229	3949	13222
230	3967	13207
231	3990	13210
232	4012	13208
233	4032	13201
234	4052	13192
235	4075	13194
236	4096	13187
237	4118	13185
238	4143	13194
239	4172	13214
240	4200	13230
241	4226	13238
242	4265	13288
243	4285	13279
244	4307	13275
245	4343	13312
246	4362	13298
247	4381	13286
248	4499	13571
249	4536	13608
250	4559	13607
251	4581	13597
252	4599	13579
253	4616	13558
254	4633	13537
255	4681	13605
256	4721	13651
257	4772	13724
258	4807	13754
259	4846	13793
260	4890	13846
261	4918	13853
262	4945	13857
263	4960	13829
264	4979	13811
265	5008	13821
266	5035	13824
267	5050	13795
268	5065	13765
269	5081	13737
270	5097	13711
271	5113	13685
272	5129	13660
273	5146	13635
274	5161	13608
275	5178	13583
276	5194	13557
277	5209	13528
278	5224	13502
279	5241	13477
280	5257	13451
281	5272	13424
282	5288	13398
283	5304	13372
284	5318	13343
285	5334	13318
286	5350	13292
287	5367	13268
288	5384	13247
289	5400	13222
290	5418	13201
291	5434	13176
292	5449	13150
293	5464	13121
294	5480	13097
295	5501	13085
296	5519	13065
297	5539	13050
298	5557	13030
299	5584	13031
300	5603	13012
301	5623	12997
302	5743	13212
303	5779	13233
304	5795	13205
305	5811	13180
306	5830	13161
307	5848	13139
308	5867	13121
309	5886	13102
310	5907	13087
311	5921	13058
312	5937	13033
313	6010	13130
314	6085	13232
315	6115	13236
316	6135	13219
317	6151	13193
318	6168	13167
319	6183	13140
320	6198	13112
321	6213	13084
322	6228	13055
323	6243	13026
324	6258	12997
325	6272	12968
326	6284	12934
327	6299	12907
328	6315	12880
329	6331	12854
330	6346	12826
331	6361	12798
332	6376	12771
333	6391	12744
334	6406	12716
335	6420	12688
336	6434	12658
337	6449	12631
338	6464	12604
339	6479	12578
340	6495	12552
341	6509	12524
342	6525	12498
343	6539	12471
344	6555	12445
345	6569	12418
346	6583	12388
347	6596	12359
348	6612	12334
349	6629	12311
350	6646	12289
351	6662	12265
352	6677	12239
353	6692	12213
354	6708	12189
355	6723	12163
356	6738	12137
357	6757	12117
358	6775	12097
359	6791	12074
360	6810	12054
361	6826	12031
362	6844	12011
363	6861	11989
364	6881	11972
365	6897	11947
366	6910	11919
367	6925	11894
368	6941	11870
369	6957	11846
370	6972	11821
371	6989	11799
372	7005	11775
373	7021	11752
374	7037	11729
375	7054	11706
376	7069	11681
377	7083	11656
378	7098	11631
379	7113	11606
380	7128	11582
381	7143	11557
382	7159	11534
383	7174	11508
384	7187	11482
385	7204	11459
386	7219	11436
387	7236	11414
388	7251	11389
389	7265	11364
390	7280	11339
391	7294	11313
392	7308	11287
393	7323	11263
394	7337	11237
395	7351	11212
396	7367	11190
397	7384	11169
398	7400	11147
399	7416	11124
400	7431	11100
401	7448	11080
402	7465	11059
403	7481	11036
404	7497	11014
405	7513	10992
406	7529	10970
407	7546	10949
408	7564	10930
409	7581	10910
410	7600	10892
411	7616	10869
412	7630	10845
413	7645	10822
414	7663	10803
415	7678	10779
416	7693	10756
417	7707	10732
418	7721	10707
419	7735	10682
420	7750	10658
421	7764	10635
422	7780	10613
423	7795	10589
424	7810	10566
425	7824	10542
426	7838	10518
427	7853	10495
428	7866	10470
429	7879	10444
430	7897	10426
431	7912	10402
432	7926	10379
433	7941	10357
434	7955	10333
435	7969	10309
436	7984	10286
437	7998	10263
438	8012	10238
439	8027	10216
440	8041	10193
441	8056	10170
442	8071	10148
443	8090	10131
